objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,filename,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
psychiana001,Fire - Halloween 1999,10/31/1999,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; Tracy Worden; Curt Matzdorff; Sidney Matzdorff; Regina Harter,"Oxnard, CA",-34.20294642,-119.1847193,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/1999Halloween.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana002,2000 - Skip and Irene the Great Sid first steps,2000,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Oxnard, CA",-34.20294642,-119.1847193,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2000SkipandIrenetheGreatSidfirststeps.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana003,2005-2006 Sidney Kindergarten Concert,2005-2006,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2005-2006SidneyKindergartenConcert.mp4,,,,
psychiana004,2005 - Austin First Easter and Sunshine Generation,3/27/2005,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2005AustinFirstEasterandSunshineGeneration.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana005,2005 Austin New Shoes Bath Time,2005,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2005AustinNewShoesBathTime.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana006,2005 Austin and  Sidney peekaboo,2005,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2005AustinSidpeekaboo.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana007,AustinSnackBath.mp4,2005,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2005AustinSnackBath.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana008,PlayAustinWalker.mp4,2005,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2005PlayAustinWalker.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana009,SidFirstDaySchool.mp4,2006,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2005SidFirstDaySchool.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana010,SidneyAYSOSoccer.mp4,2006,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2005SidneyAYSOSoccer.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana011,Easter,4/16/2006,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2006Easter.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana012,SidandAJdancing,2006,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2006SidandAJdancing.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana013,Easter,4/8/2008,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2007Easter.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana014,VisittoBerryPatchFarm,2012,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Nevada, IA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2012VisittoBerryPatchFarm.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana015,AliciaandBrentWedding,2000,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Le Mars, IA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/AliciaandBrentWedding.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana016,AustinandChuck,2005,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/AustinandChuck.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana017,AustinandSidneyZoo,2005,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"San Diego, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/AustinandSidneyZoo.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana018,DeconstructionMarch2013,2013,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Ankeny, IA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/20130302Ankenydeconstruction.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana019,IowaFamilyMisc,2015,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Ankeny, IA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/IowaFamilyMisc.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana020,Jan-Mar2007Cheezie,2007,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/Jan-Mar2007Cheezie.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana021,Sidneyipodpresents,2013,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Thousand Oaks, CA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/Sidneyipodpresents.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana022,TwastheNightBeforeXmas2016,2016,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Ankeny, IA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/TwastheNightBeforeXmas2016.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana023,Christmas,2015,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Ankeny, IA",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2015Christmas.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana024,Donna's Funeral - Burial,8/4/2024,,Tracy Worden,,"Short video of Donna Worden Abitz burial in Fairmont, MN.",youtube video,Family; ,"Fairmont, NM",,,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://youtu.be/mmSJ8vYWH8g,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
psychiana025,Christmas,2003,,Tracy Worden,,"Short video describing the fire  that happened next door to 110 S F Street in Oxnard CA, also Halloween on F Street.",youtube video,Family; ,"Oxnard, CA",-34.20294642,-119.1847193,,Matzdorff Inc.,,,,For Family use only. ,,Audio,video/mp4,eng,,,,video,https://d38akckjexlvip.cloudfront.net/2003Christmas.mp4,https://youtu.be/mmSJ8vYWH8g/hqdefault.jpg,https://youtu.be/mmSJ8vYWH8g/mqdefault.jpg,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
